,username,follower,username_raw
650,@solmaz_sh,False,solmaz_sh
651,@william_markito,False,william_markito
652,@arahuja,False,arahuja
653,@JHanlon,False,JHanlon
654,@yacobmayer,True,yacobmayer
655,@danielchalef,False,danielchalef
656,@otroFama,False,otroFama
657,@jimmyhatesu,False,jimmyhatesu
658,@midoridancer,False,midoridancer
659,@VaroonMathur,False,VaroonMathur
660,@DJCordhose,False,DJCordhose
661,@frankherfert,False,frankherfert
662,@IgorBrigadir,False,IgorBrigadir
663,@GersonGarrido10,False,GersonGarrido10
664,@superlopuh,False,superlopuh
665,@crewsecontrol,False,crewsecontrol
666,@karlhigley,False,karlhigley
667,@fs111,False,fs111
668,@rajeevuwarrier,False,rajeevuwarrier
669,@dribnet,False,dribnet
670,@abhicantdraw,False,abhicantdraw
671,@samhardyhey,False,samhardyhey
672,@serrjoa,False,serrjoa
673,@adrian_galdran,True,adrian_galdran
674,@brdskggs,False,brdskggs
675,@KrishaMehta2,False,KrishaMehta2
676,@tanmay_gp,True,tanmay_gp
677,@liron,False,liron
678,@chirie_ezra,True,chirie_ezra
679,@_crypto_monkey_,False,_crypto_monkey_
680,@jeet__das,False,jeet__das
681,@koolkatnez,False,koolkatnez
682,@thejonmccoy,False,thejonmccoy
683,@WookieL1,False,WookieL1
684,@IArreses,False,IArreses
685,@Trekhleb,False,Trekhleb
686,@cassidydaly,False,cassidydaly
687,@haizad0,False,haizad0
688,@KortanConsult,True,KortanConsult
689,@MilaRoma_,True,MilaRoma_
690,@vaayustudios,False,vaayustudios
691,@socratica,False,socratica
692,@BoogieSac,True,BoogieSac
693,@dy_2019,True,dy_2019
694,@P4zAbr4,True,P4zAbr4
695,@xTimoLange,True,xTimoLange
696,@In4mationOverld,True,In4mationOverld
697,@DougCollinsUX,True,DougCollinsUX
698,@NinjaShokunin,True,NinjaShokunin
699,@suzatweet,True,suzatweet
700,@avinash864,False,avinash864
701,@dragonb8,False,dragonb8
702,@rahultewariji,True,rahultewariji
703,@paulgb,True,paulgb
704,@arcalinea,False,arcalinea
705,@chaerani,False,chaerani
706,@teow_matthew,False,teow_matthew
707,@WPeaster,True,WPeaster
708,@_MRogers,True,_MRogers
709,@fuxjaeger,False,fuxjaeger
710,@AlexR0gan,False,AlexR0gan
711,@crypto_brainiac,False,crypto_brainiac
712,@mala_narasimhan,False,mala_narasimhan
713,@swiftynifty11,False,swiftynifty11
714,@data_not_data,False,data_not_data
715,@meenzwell,False,meenzwell
716,@wiredsis,False,wiredsis
717,@sixwing,False,sixwing
718,@amarchenkova,False,amarchenkova
719,@JYuter,False,JYuter
720,@techiemum88,False,techiemum88
721,@KateRoseBee,False,KateRoseBee
722,@NoeFischerCH,True,NoeFischerCH
723,@justizin,True,justizin
724,@Stephan37327426,False,Stephan37327426
725,@olegthinks,True,olegthinks
726,@NajumRahim,False,NajumRahim
727,@LindseyG9283,True,LindseyG9283
728,@byherapp,True,byherapp
729,@_ManlikeEl,True,_ManlikeEl
730,@HSingh814,False,HSingh814
731,@aaronjdavidson,False,aaronjdavidson
